relative_path,exit_code,wikitext2_ppl,c4_ppl,last_started_layer,layer_count_seen,rollback_count,fp32_fallback_count,sanitized_count,safe_skip_count,nan_mentions,fatal_traceback,max_memory_mb,reported_runtime_seconds,elapsed_seconds,git_commit,checkpoint_bytes
experiments/7b_w2_robust_smoke/log_rank0_1783236910.txt,,,,31,32,2,2,0,0,4,False,7018.595703125,32.310699701309204,,,202528354
experiments/7b_w2_robust_smoke/run.log,0,,,31,32,2,2,0,0,4,False,7018.595703125,32.310699701309204,,,202528354
experiments/7b_w2_robust_smoke_v1_failed/log_rank0_1783235078.txt,,,,30,31,4,0,0,0,8,False,6873.59716796875,,,,189870346
experiments/7b_w2_robust_smoke_v1_failed/run.log,1,,,30,31,4,0,0,0,10,True,6873.59716796875,,,,189870346
experiments/7b_w2g128_n32e0_agent/log_rank0_1783356593.txt,,4272.63623046875,4907.05078125,31,32,0,0,0,0,0,False,,10.65379285812378,227,3b25db6413c62581664adf0e6c2dd2f814396bab,
experiments/7b_w2g128_n32e0_agent/run.log,0,4272.63623046875,4907.05078125,31,32,0,0,0,0,0,False,,10.65379285812378,227,3b25db6413c62581664adf0e6c2dd2f814396bab,
experiments/7b_w2g128_n32e10_baseline/log_rank0_1783237548.txt,,,,1,2,0,0,0,0,0,False,7890.1904296875,,,3b25db6413c62581664adf0e6c2dd2f814396bab,6329604
experiments/7b_w2g128_n32e10_baseline/run.log,1,,,1,2,0,0,0,0,2,True,7890.1904296875,,,3b25db6413c62581664adf0e6c2dd2f814396bab,6329604
experiments/7b_w2g128_n32e10_robust/log_rank0_1783237855.txt,,1810.511474609375,4155.16552734375,31,32,3,3,0,0,6,False,8035.220703125,1246.301387310028,,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w2g128_n32e10_robust/run.log,0,1810.511474609375,4155.16552734375,31,32,3,3,0,0,6,False,8035.220703125,1246.301387310028,,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w2g128_n32e10_robust_lr1e3_agent/log_rank0_1783356820.txt,,,5235.41796875,31,32,3,3,0,0,7,False,8035.220703125,1239.2277767658234,1459,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w2g128_n32e10_robust_lr1e3_agent/run.log,0,,5235.41796875,31,32,3,3,0,0,7,False,8035.220703125,1239.2277767658234,1459,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w2g64_n32e10_robust_lr1e3_agent/log_rank0_1783358280.txt,,455.3946228027344,667.1389770507812,31,32,3,3,0,0,6,False,8127.626953125,1247.821935892105,1468,3b25db6413c62581664adf0e6c2dd2f814396bab,404903522
experiments/7b_w2g64_n32e10_robust_lr1e3_agent/run.log,0,455.3946228027344,667.1389770507812,31,32,3,3,0,0,6,False,8127.626953125,1247.821935892105,1468,3b25db6413c62581664adf0e6c2dd2f814396bab,404903522
experiments/7b_w3g128_n32e5_agent/log_rank0_1783356565.txt,,,,1,2,0,0,0,0,0,False,7890.1904296875,,27,3b25db6413c62581664adf0e6c2dd2f814396bab,6329604
experiments/7b_w3g128_n32e5_agent/run.log,1,,,1,2,0,0,0,0,2,True,7890.1904296875,,27,3b25db6413c62581664adf0e6c2dd2f814396bab,6329604
experiments/7b_w3g128_n32e5_robust_agent/log_rank0_1783360699.txt,,6.615912437438965,8.373472213745117,31,32,1,1,0,0,2,False,8033.251953125,643.4144761562347,864,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w3g128_n32e5_robust_agent/run.log,0,6.615912437438965,8.373472213745117,31,32,1,1,0,0,2,False,8033.251953125,643.4144761562347,864,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w4g128_n32e5_agent/log_rank0_1783356538.txt,,,,1,2,0,0,0,0,0,False,7890.1904296875,,28,3b25db6413c62581664adf0e6c2dd2f814396bab,6329604
experiments/7b_w4g128_n32e5_agent/run.log,1,,,1,2,0,0,0,0,2,True,7890.1904296875,,28,3b25db6413c62581664adf0e6c2dd2f814396bab,6329604
experiments/7b_w4g128_n32e5_robust_agent/log_rank0_1783359829.txt,,5.724181652069092,7.245031833648682,31,32,2,2,0,0,4,False,8033.251953125,648.6332981586456,870,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
experiments/7b_w4g128_n32e5_robust_agent/run.log,0,5.724181652069092,7.245031833648682,31,32,2,2,0,0,4,False,8033.251953125,648.6332981586456,870,3b25db6413c62581664adf0e6c2dd2f814396bab,202528354
restore/OmniQuant/log/llama-2-13b-w2a16g128/log_rank0_1775791178.txt,,,,,0,0,0,0,0,0,False,,,,,396682447
restore/OmniQuant/log/llama-2-13b-w2a16g128/log_rank0_1775801665.txt,,10.75031566619873,13.289106369018555,39,40,0,0,0,0,0,False,15011.4990234375,12181.258198976517,,,396682447
restore/OmniQuant/log/llama-2-13b-w2a16g128-full/log_rank0_1775895171.txt,,,,,0,0,0,0,0,0,False,,,,,399632159
restore/OmniQuant/log/llama-2-13b-w2a16g128-full/log_rank0_1775895509.txt,,14.127449035644531,17.77560043334961,39,40,0,0,0,0,3,False,16919.5810546875,16392.293100833893,,,399632159
restore/OmniQuant/log/llama-2-13b-w2a16g128-no-lwc/log_rank0_1775893283.txt,,,,0,1,0,0,0,0,0,False,,,,,
restore/OmniQuant/log/llama-2-13b-w2a16g128-no-lwc/log_rank0_1775893416.txt,,122.11434936523438,139.650146484375,39,40,0,0,0,0,0,False,,23.095298051834106,,,
restore/OmniQuant/log/llama-2-13b-w3a16g128/log_rank0_1775814207.txt,,5.323248386383057,7.020618915557861,39,40,0,0,0,0,0,False,15011.4990234375,12241.653965234756,,,396682447
restore/OmniQuant/log/llama-2-13b-w4a16g128/log_rank0_1775826820.txt,,4.964791774749756,6.572065353393555,39,40,0,0,0,0,0,False,15011.4990234375,12243.863445520401,,,396682447
restore/OmniQuant/log/llama-2-13b-w4a16g128-zeroshot/log_rank0_1775877998.txt,,,,39,40,0,0,0,0,0,False,15011.9521484375,12240.556792020798,,,396682447
restore/OmniQuant/log/llama-2-7b-w2a16/log_rank0_1775034704.txt,,5129.58447265625,16626.1953125,31,32,0,0,0,0,6,False,10872.7470703125,9590.288110017776,,,5589487
restore/OmniQuant/log/llama-2-7b-w2a16g128/log_rank0_1775619126.txt,,18.859512329101562,26.605562210083008,31,32,0,0,0,0,1,False,10964.9404296875,6761.507591724396,,,202526959
restore/OmniQuant/log/llama-2-7b-w2a16g128/log_rank0_1775627473.txt,,,,0,1,0,0,0,0,0,False,10963.7529296875,,,,202526959
restore/OmniQuant/log/llama-2-7b-w3a16g128/log_rank0_1775631519.txt,,6.098163604736328,7.814173698425293,31,32,0,0,0,0,1,False,10965.2529296875,6484.424907684326,,,202526959
restore/OmniQuant/log/llama-2-7b-w4a16/log_rank0_1774923076.txt,,,,,0,0,0,0,0,0,False,,,,,5589487
restore/OmniQuant/log/llama-2-7b-w4a16/log_rank0_1774924517.txt,,5.743441581726074,7.360231399536133,31,32,0,0,0,0,1,False,10872.7470703125,9220.528510332108,,,5589487
restore/OmniQuant/log/llama-2-7b-w4a16g128/log_rank0_1775638309.txt,,5.593636512756348,7.121578693389893,31,32,0,0,0,0,1,False,10964.7529296875,6499.7209532260895,,,202526959
restore/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1774953543.txt,,,,,0,0,0,0,0,0,False,,,,,7490479
restore/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1774953944.txt,,,,31,32,0,0,0,0,11,False,12362.3583984375,14009.29922580719,,,7490479
restore/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1774970720.txt,,,,9,10,0,0,0,0,4,False,12343.2802734375,,,,7490479
restore/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1775020017.txt,,20.388158798217773,26.501079559326172,31,32,0,0,0,0,11,False,12362.3583984375,13924.43316912651,,,7490479
restore/OmniQuant/log/w2_optimized/log_rank0_1776843256.txt,,,,1,2,0,0,0,0,0,False,16772.1435546875,,,,1165722
restore/OmniQuant/log/w2_optimized/log_rank0_1777003737.txt,,,,4,5,0,0,0,0,5,False,16772.2998046875,,,,1165722
restore/OmniQuant/log/w3_optimized/log_rank0_1776831237.txt,,,,39,40,0,0,0,0,1,False,14870.3740234375,11897.405750274658,,,8706674
restore/OmniQuant/log/w4_optimized/log_rank0_1776779629.txt,,,,39,40,0,0,0,0,0,False,14869.3740234375,6079.359564781189,,,8706674
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w2a16g128/log_rank0_1775791178.txt,,,,,0,0,0,0,0,0,False,,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w2a16g128/log_rank0_1775801665.txt,,10.75031566619873,13.289106369018555,39,40,0,0,0,0,0,False,15011.4990234375,12181.258198976517,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w2a16g128-full/log_rank0_1775895171.txt,,,,,0,0,0,0,0,0,False,,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w2a16g128-full/log_rank0_1775895509.txt,,14.127449035644531,17.77560043334961,39,40,0,0,0,0,3,False,16919.5810546875,16392.293100833893,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w2a16g128-no-lwc/log_rank0_1775893283.txt,,,,0,1,0,0,0,0,0,False,,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w2a16g128-no-lwc/log_rank0_1775893416.txt,,122.11434936523438,139.650146484375,39,40,0,0,0,0,0,False,,23.095298051834106,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w3a16g128/log_rank0_1775814207.txt,,5.323248386383057,7.020618915557861,39,40,0,0,0,0,0,False,15011.4990234375,12241.653965234756,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w4a16g128/log_rank0_1775826820.txt,,4.964791774749756,6.572065353393555,39,40,0,0,0,0,0,False,15011.4990234375,12243.863445520401,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-13b-w4a16g128-zeroshot/log_rank0_1775877998.txt,,,,39,40,0,0,0,0,0,False,15011.9521484375,12240.556792020798,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w2a16/log_rank0_1775034704.txt,,5129.58447265625,16626.1953125,31,32,0,0,0,0,6,False,10872.7470703125,9590.288110017776,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w2a16g128/log_rank0_1775619126.txt,,18.859512329101562,26.605562210083008,31,32,0,0,0,0,1,False,10964.9404296875,6761.507591724396,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w2a16g128/log_rank0_1775627473.txt,,,,0,1,0,0,0,0,0,False,10963.7529296875,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w3a16g128/log_rank0_1775631519.txt,,6.098163604736328,7.814173698425293,31,32,0,0,0,0,1,False,10965.2529296875,6484.424907684326,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a16/log_rank0_1774923076.txt,,,,,0,0,0,0,0,0,False,,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a16/log_rank0_1774924517.txt,,5.743441581726074,7.360231399536133,31,32,0,0,0,0,1,False,10872.7470703125,9220.528510332108,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a16g128/log_rank0_1775638309.txt,,5.593636512756348,7.121578693389893,31,32,0,0,0,0,1,False,10964.7529296875,6499.7209532260895,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1774953543.txt,,,,,0,0,0,0,0,0,False,,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1774953944.txt,,,,31,32,0,0,0,0,11,False,12362.3583984375,14009.29922580719,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1774970720.txt,,,,9,10,0,0,0,0,4,False,12343.2802734375,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/llama-2-7b-w4a4/log_rank0_1775020017.txt,,20.388158798217773,26.501079559326172,31,32,0,0,0,0,11,False,12362.3583984375,13924.43316912651,,,
restore/scores/root/autodl-tmp/OmniQuant/log/w2_optimized/log_rank0_1776843256.txt,,,,1,2,0,0,0,0,0,False,16772.1435546875,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/w2_optimized/log_rank0_1777003737.txt,,,,4,5,0,0,0,0,5,False,16772.2998046875,,,,
restore/scores/root/autodl-tmp/OmniQuant/log/w2_optimized_safe/log_rank0_1777007095.txt,,,,39,40,0,0,0,0,19,False,16774.1123046875,31540.30171561241,,,
restore/scores/root/autodl-tmp/OmniQuant/log/w3_optimized/log_rank0_1776831237.txt,,,,39,40,0,0,0,0,1,False,14870.3740234375,11897.405750274658,,,
restore/scores/root/autodl-tmp/OmniQuant/log/w4_optimized/log_rank0_1776779629.txt,,,,39,40,0,0,0,0,0,False,14869.3740234375,6079.359564781189,,,
